date,product,store,sales
2024-01-01,C,south,21.84831996205925
2024-01-02,A,south,23.413828043500885
2024-01-03,C,north,16.159126615294234
2024-01-04,C,south,16.095190022774
2024-01-05,A,south,25.152527707408467
2024-01-06,A,north,23.53407974383576
2024-01-07,C,south,13.562429720450174
2024-01-08,B,north,21.538823752374487
2024-01-09,C,north,16.344531076140242
2024-01-10,C,south,16.51902492419208
2024-01-11,C,south,19.875121897139227
2024-01-12,C,south,17.29965302577826
2024-01-13,A,south,25.367516495018556
2024-01-14,C,north,25.920382674807673
2024-01-15,B,south,18.862827061453036
2024-01-16,A,north,21.821262561350053
2024-01-17,B,south,20.54452093288193
2024-01-18,B,south,17.67430461899694
2024-01-19,B,south,20.07125444599324
2024-01-20,B,north,20.946907930043714
2024-01-21,A,south,24.894409184612545
2024-01-22,A,south,25.16967684876751
2024-01-23,B,south,20.576271141897948
2024-01-24,B,south,24.791338167562433
2024-01-25,A,north,24.241242087679016
2024-01-26,A,south,25.38230322000427
2024-01-27,A,north,27.60054719002643
2024-01-28,C,north,21.413110494254063
2024-01-29,C,north,18.925372398527664
2024-01-30,C,north,22.705590311053662
2024-01-31,B,north,17.386259356655213
2024-02-01,C,north,19.319751718105323
2024-02-02,B,south,17.68674037848668
2024-02-03,B,north,21.728523798413303
2024-02-04,C,north,23.568799343854245
2024-02-05,B,north,20.670008476089066
2024-02-06,C,south,20.225797837787564
2024-02-07,C,south,17.374973997625773
2024-02-08,A,north,22.892346648639506
2024-02-09,C,south,16.42021965308472
2024-02-10,A,north,18.46995583218345
2024-02-11,C,north,18.826897996308524
2024-02-12,C,south,19.105684191941105
2024-02-13,A,north,31.518526886119915
2024-02-14,A,south,29.688440698624333
2024-02-15,C,south,21.666920718900602
2024-02-16,B,north,26.25343169162469
2024-02-17,A,north,29.172710488555825
2024-02-18,B,south,13.977295935911677
2024-02-19,B,north,23.202368516704254
2024-02-20,B,north,22.13436279558448
2024-02-21,A,north,24.131866158601927
2024-02-22,B,south,15.754392441447456
2024-02-23,A,south,26.786203407131268
2024-02-24,B,north,13.76261683107651
2024-02-25,C,south,19.93557511287602
2024-02-26,C,south,18.148728775139375
2024-02-27,A,south,21.223473875343416
2024-02-28,C,south,23.566403022956617
2024-02-29,C,south,19.876074708257683
2024-03-01,B,north,20.52189898750871
2024-03-02,A,north,27.72361584172728
2024-03-03,B,north,19.973628331089934
2024-03-04,B,south,21.354233595942496
2024-03-05,B,south,22.447554861467268
2024-03-06,B,north,21.700267780756477
2024-03-07,B,south,20.85794049856485
2024-03-08,B,north,25.34933850612517
2024-03-09,B,north,23.725911794029567
2024-03-10,A,north,24.742710492301498
2024-03-11,C,south,17.270921149554642
2024-03-12,B,south,21.915870949512932
2024-03-13,B,north,20.647581944567015
2024-03-14,B,north,25.1269869895665
2024-03-15,B,north,22.96247901710217
2024-03-16,B,north,22.292613164005722
2024-03-17,B,south,20.038854613862284
2024-03-18,C,south,17.37290377499827
2024-03-19,C,north,19.406111093896055
2024-03-20,B,north,21.43048428297233
2024-03-21,C,south,14.811259720972563
2024-03-22,A,south,28.725141878957032
2024-03-23,B,north,26.201132005254138
2024-03-24,A,north,19.16518212888775
2024-03-25,A,north,20.799353346959393
2024-03-26,B,south,20.68898739269942
2024-03-27,C,south,18.2522572530952
2024-03-28,A,south,25.78271930149502
2024-03-29,B,north,19.78497789032769
2024-03-30,A,north,21.92854444153284
2024-03-31,A,south,28.86521902053547
2024-04-01,A,south,26.393549815728548
2024-04-02,A,north,23.320774075815184
2024-04-03,C,south,24.515075343982463
2024-04-04,A,south,23.47478213531874
2024-04-05,A,north,21.2744784498834
2024-04-06,A,south,25.550535469263206
2024-04-07,C,north,21.059472869667996
2024-04-08,A,north,26.595750676656536
2024-04-09,A,north,27.089053379957463
2024-04-10,C,north,21.548374185733074
2024-04-11,C,north,21.426480924347523
2024-04-12,C,north,18.278738599075506
2024-04-13,A,north,22.95776717628834
2024-04-14,C,south,22.227094748777354
2024-04-15,C,north,20.73036953209966
2024-04-16,A,north,27.460737218458767
2024-04-17,C,south,14.878168533117204
2024-04-18,A,south,23.497640852747217
2024-04-19,B,south,25.721056705731666
2024-04-20,C,north,21.65759945704232
2024-04-21,B,south,20.88665135293746
2024-04-22,A,north,27.123773100909023
2024-04-23,C,north,26.625351577598543
2024-04-24,A,north,30.994148626861083
2024-04-25,B,north,15.26143772806222
2024-04-26,A,south,21.368496522791894
2024-04-27,C,south,15.159768033347625
2024-04-28,C,north,17.75867633317921
2024-04-29,B,north,20.16475789595677
2024-04-30,A,north,25.72604543220339
2024-05-01,C,south,15.408563770438242
2024-05-02,B,north,14.397944520892672
2024-05-03,C,north,17.70562583913365
2024-05-04,C,south,22.748513796813864
2024-05-05,A,south,28.271088735080937
2024-05-06,C,north,25.11747457801306
2024-05-07,A,south,24.90300924722466
2024-05-08,C,south,22.484460471170316
2024-05-09,B,north,23.02968488314898
2024-05-10,C,south,18.509422901982134
2024-05-11,A,north,26.163534644591397
2024-05-12,A,south,26.97611537712926
2024-05-13,B,north,17.27252714874463
2024-05-14,C,north,24.92628851332233
2024-05-15,C,north,19.88356315183992
2024-05-16,B,south,20.261105684440018
2024-05-17,C,north,17.15797586017363
2024-05-18,C,south,17.6617214123674
2024-05-19,A,north,18.410456197503972
2024-05-20,C,north,20.165467629255836
2024-05-21,C,south,27.51706762892592
2024-05-22,B,north,16.944141655686536
2024-05-23,B,north,28.928590784464916
2024-05-24,A,south,29.24275378783724
2024-05-25,C,north,18.579233657068674
2024-05-26,C,north,20.081794114456635
2024-05-27,C,north,19.59469907625519
2024-05-28,A,north,30.118491920193136
2024-05-29,A,south,26.55104719035388
2024-05-30,B,south,23.545922145865443
2024-05-31,A,north,26.074515536084046
2024-06-01,C,south,19.66408243821615
2024-06-02,C,north,20.979270095212144
2024-06-03,A,south,23.779167298383754
2024-06-04,C,north,15.643387869587308
2024-06-05,C,north,22.44106572786995
2024-06-06,A,north,20.496506654970737
2024-06-07,A,north,24.193497469614474
2024-06-08,C,north,18.680407137153747
2024-06-09,C,north,21.93006179316221
2024-06-10,C,south,24.694113754800586
2024-06-11,B,north,23.614911941902246
2024-06-12,B,south,22.01727505668528
2024-06-13,B,north,18.110385063137652
2024-06-14,A,south,24.44959253921061
2024-06-15,B,south,19.012178878832547
2024-06-16,A,south,23.58915565981167
2024-06-17,A,north,23.79264667411949
2024-06-18,B,north,18.71258589479723
2024-06-19,B,south,18.579721421898512
2024-06-20,B,north,22.85564905408566
2024-06-21,C,south,16.836089333401723
